List,game_type,x1G,x2G,unknown_prob_G,x1B,x2B,unknown_prob_B,t1G,t2G,t1B,t2B
1,risky_setup_1,1.5,0.5,na,na,na,na,6,2,na,na
2,risky_setup_1,2,0.4,na,na,na,na,7,3,na,na
3,risky_setup_1,2.5,0.3,na,na,na,na,8,4,na,na
4,risky_setup_1,3,0.2,na,na,na,na,9,5,na,na
5,risky_setup_1,3.5,0.1,na,na,na,na,10,6,na,na
6,risky_setup_1,1.5,0.5,na,na,na,na,6,2,na,na
7,risky_setup_1,2,0.4,na,na,na,na,7,3,na,na
8,risky_setup_1,2.5,0.3,na,na,na,na,8,4,na,na
9,risky_setup_1,3,0.2,na,na,na,na,9,5,na,na
10,risky_setup_1,3.5,0.1,na,na,na,na,10,6,na,na
11,risky_setup_3_ambi,1.5,0.5,0.2,na,na,na,6,2,na,na
12,risky_setup_3_ambi,2,0.4,0.2,na,na,na,7,3,na,na
13,risky_setup_3_ambi,2.5,0.3,0.2,na,na,na,8,4,na,na
14,risky_setup_3_ambi,3,0.2,0.2,na,na,na,9,5,na,na
15,risky_setup_3_ambi,3.5,0.1,0.2,na,na,na,10,6,na,na
16,risky_setup_3_ambi,1.5,0.5,0.2,na,na,na,6,2,na,na
17,risky_setup_3_ambi,2,0.4,0.2,na,na,na,7,3,na,na
18,risky_setup_3_ambi,2.5,0.3,0.2,na,na,na,8,4,na,na
19,risky_setup_3_ambi,3,0.2,0.2,na,na,na,9,5,na,na
20,risky_setup_3_ambi,3.5,0.1,0.2,na,na,na,10,6,na,na
21,risky_setup_2,1.5,0.5,na,1.6,0.4,na,6,2,8,1
22,risky_setup_2,2,0.4,na,2.1,0.3,na,7,3,9,2
23,risky_setup_2,2.5,0.3,na,2.6,0.2,na,8,4,10,3
24,risky_setup_2,3,0.2,na,3.1,0.1,na,9,5,11,4
25,risky_setup_2,3.5,0.1,na,3.6,0,na,10,6,12,5
26,risky_setup_2,1.5,0.5,na,1.6,0.4,na,6,2,8,1
27,risky_setup_2,2,0.4,na,2.1,0.3,na,7,3,9,2
28,risky_setup_2,2.5,0.3,na,2.6,0.2,na,8,4,10,3
29,risky_setup_2,3,0.2,na,3.1,0.1,na,9,5,11,4
30,risky_setup_2,3.5,0.1,na,3.6,0,na,10,6,12,5
31,risky_setup_4_ambi,1.5,0.5,0.2,1.6,0.4,0.2,6,2,8,1
32,risky_setup_4_ambi,2,0.4,0.2,2.1,0.3,0.2,7,3,9,2
33,risky_setup_4_ambi,2.5,0.3,0.2,2.6,0.2,0.2,8,4,10,3
34,risky_setup_4_ambi,3,0.2,0.2,3.1,0.1,0.2,9,5,11,4
35,risky_setup_4_ambi,3.5,0.1,0.2,3.6,0,0.2,10,6,12,5
36,risky_setup_4_ambi,1.5,0.5,0.2,1.6,0.4,0.2,6,2,8,1
37,risky_setup_4_ambi,2,0.4,0.2,2.1,0.3,0.2,7,3,9,2
38,risky_setup_4_ambi,2.5,0.3,0.2,2.6,0.2,0.2,8,4,10,3
39,risky_setup_4_ambi,3,0.2,0.2,3.1,0.1,0.2,9,5,11,4
40,risky_setup_4_ambi,3.5,0.1,0.2,3.6,0,0.2,10,6,12,5
